Reciepe Name,Ingredients
Granny Smith Apple Salad Recipe ,"  2 Granny Smith apples,  2 medium carrots,  1 bunch small radishes,  1/2 cup golden raisins,  1/2 cup chopped fresh parsley,  1/2 cup chopped fresh mint,  For the dressing:,  50 ml cider vinegar,  30 ml honey,  5 ml Dijon mustard,  Salt and pepper to taste,  175 ml extra virgin olive oil,  2 tsp sesame seeds toasted"
Dragon Fire Wings Recipe ,"12  chicken wings (separated at the joint),1 tbsp vegetable oil,  Salt and pepper,1/4 cup barbecue sauce,1/4 cup hung yogurt,1 tsp asian chilli paste,1/4 cup honey,1  garlic clove, finely chopped,1/4 cup sesame seeds"
क्रीम आॅफ आमंड सूप रेसिपी (Cream of almond soup   Recipe)  ,"800 ml (मिली.) वेजिटेबल स्टॉक,200 ml (मिली.) स्किम्ड मिल्क,100 ग्राम  टोस्टेड बादाम पाउडर,50 ग्राम मक्खन,50 ग्राम आटा, स्वादानुसार नमक और कालीमिर्च, एक चुटकी जायफल, कद्दूकस,2-3 बूंदें  बादाम एसेंस,10 ग्राम टोस्टेड बादाम फ्लेक्स"
Pasta with Roasted Mediterranean Veggies Recipe ,"120 gms pasta,1 medium eggplant, peeled,1/2  Zucchini,1/2  Yellow squash,1 bunch parsley, small,  Few basil leaves,7  cherry tomatoes,1/2  Carrot,1 tbsp extra virgin olive oil,8-9  Olives,2-3  Garlic cloves,  Few oregano leaves,  Few rosemary leaves,  Few thyme leaves,To season  salt and pepper ,1/2 tsp red chilly fakes,1 tbsp white wine vinegar"
Sweet Potato Rice Recipe ,"3 Cups Rice (cooked),10 Pieces Garlic, finely chopped,1/2 Cup Spring onions,1 Tbsp Ginger juice,1/2 tsp Chilli powder,2  Sweet potatoes,3 tsp Olive oil, To taste Salt "
Strawberry Jam Shortbread Biscuit Recipe ,"1/2 Cup Sugar,1 Cup Butter,2 Cup Flour,1  Egg,  Heart shape moulds,200 Gram Strawberries,50 Gram Sugar,5 Gram Gelatine"
Low Fat Celery Soup Recipe ,"2 Cups Celery (diced),1  Onion, chopped,1 Tbsp Garlic, chopped,1 1/2 Tbsp Ginger, chopped,4 Cups Chicken stock (with cubes or chicken powder),  Salt,1/2 Cup Milk,  Freshly ground black pepper"
Coconut Cookies Recipe ,"100 gms refined flour,100 gms dessicated coconut,100 gms salted butter,100 gms sugar powder,10 gms custard powder,25 ml toned milk,  edible food colour (blue, yellow, red, pink, green etc.)"
ब्रॉकली एंड आमंड सूप रेसिपी (Broccoli and almond soup   Recipe)  ,"800 ml (मिली.) वेजिटेबल स्टॉक,700 ग्राम ब्रॉकली ,50 ग्राम (कुटे हुए)  बादाम (टोस्टेड),250 ml (मिली.) स्किम्ड मिल्क, स्वादानुसार नमक,(ताजी कुटी हुई )  कालीमिर्च "
गुंडी पान गुजिया रेसिपी (Gundi Paan Gujiya   Recipe)  ,"1 kg मैदा,250 ग्राम घी,300 ml (मिली.) पानी,500 ml (मिली.) चाशनी,1 kg देसी घी,20 ग्राम मिक्स ड्राई फ्रूट्स (बादाम, किशमिश, पिस्ता),1 टेबल स्पून अजवाइन,15  गुंडी पान, टुकड़ों में कटा हुआ"
Mongolian Lamb Balls Recipe ,"100 Gram Lamb (minced),20 Gram Couscous,20 Gram Scallion,20 Gram Garlic,1  Egg,20  Parsley, chopped,For flavour  Olive oil,To garnish  Mint,20  Ao nori herb, To taste Salt,5  Five spice,5  Cinnamon powder"
दही वड़ा रेसिपी (Dahi Vada   Recipe)  ,"1 कप धुली उड़द दाल 5 से 6 घंटे भीगी हुई और दाल का पेस्ट बना लें। ,तलने के लिए  तेल ,2 1/2   दही , फेंटा हुआ,2 टी स्पून नमक,2 टी स्पून जीरा पाउडर, रोस्टेड,2 टेबल स्पून हरा धनिया,1/4  टी स्पून कालीमिर्च,1/2 टी स्पून लाल मिर्च पाउडर,1 टी स्पून काला नमक,गार्निशिंग के लिए   चाट मसाला"
Mooli Thepla with Aloo Bhaji Recipe ,"1/2 Cup Radish leaves,5 Tbsp Singhare ka Atta,5 Tbsp Samak rice (boiled),5 Tbsp Potato (boiled),1 Cup Green chilli, chopped,1 tsp Ginger, chopped, To taste Rock salt (sendha namak),For frying  Desi ghee,For Aloo Bhaji:,1/2 Cup Potato (boiled),5 Tbsp Tomato, chopped,1 tsp Green chilli, chopped,1/2 tsp Ginger, chopped,1 tsp Fresh coriander, chopped, To taste Rock salt (sendha namak),1/2 tsp Red chilli powder,1 Tbsp Desi ghee"
Mango Margarita Recipe ,"2  Mango chunks (drained),For blending  Ice,250 Ml Lemon lime soda,2 Tbsp Sugar"
Mango Mozzarella Salad Recipe ,"  2 ripe mangoes, peeled,  175 gm bocconcini (fresh mozzarella),  2-3 lollo rosso lettuce (or regular lettuce),  Dressing:,  2-3 fresh parsley sprigs,  2-3 fresh red chillies, sliced diagonally,  6-7 capers,  6-7 fresh basil leaves,  Sea salt to taste,  Crushed black peppercorns to taste,  2 tsp pesto sauce,  2 tsp lemon juice,  2 tsp balsamic vinegar,  1/2 cup fresh orange juice,  1/4 cup extra virgin olive oil"
मुर्ग काली मिर्च का टिक्का रेसिपी (Murgh Kali Mirch Ka Tikka  Recipe)  ,"मैरिनेट करने के लिए,2 kg चिकन टिक्का,150 gms गाढ़ा दही,15 gms लाल मिर्च पाउडर,15 gms काली मिर्च साबुत,150 gms प्रोसेस्ड चीज़,25 gms हरी इलायची पाउडर,50 gms कॉर्नफ्लोर,50 gms कबाब मसाला,100 ml (मिली.) क्रीम, स्वादानुसार नमक,चटनी के लिए:,100 ml (मिली.) क्रीम,50 gms धनिया, टुकड़ों में कटा हुआ,25 gms हरी मिर्च, टुकड़ों में कटा हुआ, for garnishing सिल्वर लीफ"
स्वीट चिली आमंड रेसिपी (Sweet chilli almonds   Recipe)  ,"1 कप साबुत बादाम,1/2 एग  एग वाइट,2 टहनी  कढ़ीपत्ता,1/2 टी स्पून नमक,2 टी स्पून चीनी,1/2 टी स्पून लाल मिर्च पाउडर"
चना मसाला रेसिपी (Channa Masala   Recipe)  ,"1/3 कप आमचूर पाउडर,1/4 कप पाउडर अनारदाना,1 कप गरम मसाला,3/4 कप धनिया पाउडर,2 टेबल स्पून पाउडर लाल मिर्च,1/2  कप पाउडर सौंठ,1 3/4 कप नमक"
Okra Soup Recipe ,"  4 rashers bacon,  1 cup diced onion,  2 cups okra (bhindi),  3 cups tomatoes - peeled and de-seeded,  1 cup diced capsicum,  1 cup corn - boiled,  Salt to taste,  1 tsp powdered black pepper,  4 cups water"
French Onion Soup Recipe ,"  750 gm onions,  2 large Tbsp butter,  1 Tbsp oil,  Salt and pepper,  Pinch of sugar,  1 Tbsp flour,  1 1/2 liter stock,  125 ml white wine,  For garnishing:,  12 slices of French bread,  1 Tbsp Olive/ salad oil,  Garlic cloves- halved,  100 gm grated cheese"
बाजरे की रोटी/भाखरी रेसिपी (Bajre ki roti/bhakri   Recipe)  ,"  बाजरे का आटा,  गर्म पानी,सर्व करने के लिए  घी"
Roasted Spring Chicken with Root Veggies Recipe ,"1  whole chicken,1 bunch thyme, small,1  garlic,1  lemon,1/2  orange,  salt,  black pepper,  butter (to rub),  extra olive oil,1  carrot,1  turnip,1  beetroot,1  chipotle powder,  parsley, chopped"
वॉर्म मशरूम सैलेड रेसिपी (Warm mushroom salad   Recipe)  ,"50 gms फ्रेश केप मशरूम ,50 ग्राम फ्रेश शिटा​के मशरूम,10 ग्राम फ्रेश बटन मशरूम,20 ग्राम फ्रेश शिमजी मशरूम,1  प्याज, तला हुआ,2 ml (मिली.) ट्रफल आॅयल, स्वादानुसार नमक,1 टी स्पून डार्क सॉय,1 टी स्पून लाइट सॉय,1/2 टी स्पून हरी प्याज, ml (मिली.) तेल"
Mummy Wraps (Tortellini Stuffed with Minced Meat) Recipe ,"For Tortellini Dough:,1000 Gram Flour ,20 Gram Salt,650 Gram Egg Yolk,For Minced Meat:,500 Gram Chicken Mince,50 Ml Olive oil,50 Gram Corn,1  Egg yolk,5 Gram Thyme, Salt, Pepper,30 Gram Pecan nut"
Almond and Amaranth Ladoo Recipe ,"50 Gram Popped amaranth seeds,50 ml Jaggery, melted,30 gram Almonds (slivered, unpeeled)"
मैंगो चीजकेक रेसिपी (Mango cheesecake   Recipe)  ,"बेस के लिए:,125 ग्राम कोकोनेट फेलेक्स,125 ग्राम ओटमील,400 ग्राम बादाम,125 ग्राम खजूर,क्रीम के लिए:,400 ग्राम काजू,125 ग्राम नारियल,125 ml (मिली.) लिक्विड नारियल तेल,125 ml (मिली.) नींबू का रस,5 ग्राम टोनका बीन्स,200 ग्राम आम,15 ग्राम नींबू का रस"
हरी मिर्च का खट्टा मीठा अचार रेसिपी (Hari mirch ka khatta meetha achaar   Recipe)  ,"250 gms हरी मिर्च,1/4 कप तिल का तेल,1/4 कप जीरा पाउडर,1/4 कप धनिया पाउडर,1/4 कप नमक,1/2 कप सिरका ,1/2 कप गुड़"
Gucchi Mussallam Recipe ,"100 gms morels,80 gms khoya pindi,40 gms cheese ,1 gms saffron,100 gms cashew nut,200 gms onion,20 gms cardamom powder,20 gms garam masala,50 ml desi ghee,100 ml fresh cream,20 gms green chilli,20 gms ginger,20 gms garlic, to taste salt"
Grilled Lemon Margarita Recipe ,"45 Ml vanilla infused tequila,10 ml vanilla liqueur,40 ml lemon juice,3/4  lemon, grilled,1/4 for garnishing lemon, grilled"
"Peach, Raspberry and Nuts Smoothie Recipe ","100 gms fresh raspberries,3 nos ripe banana, small,50  almond, soaked,100  fresh peach slices,200  low fat yogurt,For the topping:,  Fresh raspeberry,  Peach fruit slices,  almonds, soaked"
Whole Wheat Pasta in Mushroom Sauce Recipe ,"50 Gram shitake mushroom (soaked in warm water for 15 minutes),100 gram fresh mushroom-sliced,1 tbsp onion, chopped,1  garlic clove,1 tbsp fresh thyme or fresh parsley, chopped,30 ml white Wine,100 gram whole wheat pasta-penne or linguine,For seasoning  salt and pepper"
कुशारी रेसिपी (Kushari   Recipe)  ,"1 मीडियम प्याज़,1  लहसुन की कली,1  हरी मिर्च ,1 टी स्पून धनिया पाउडर ,1 टी स्पून जीरा पाउडर,2 मीडियम टमाटर  ,2 1/2 टेबल स्पून टमाटर प्यूरी ,1 1/2 टेबल स्पून मॉल्ट सिरका ,1 टी स्पून ब्राउन शुगर ,2 टेबल स्पून जैतून का तेल, स्वादानुसार नमक और काली मिर्च ,1 टेबल स्पून हरा धनिया ,50 ग्राम छोले,50 ग्राम मैकरॉनी,1 कप चावल,2  मसूर दाल ,1  फ्राइड प्याज़ ,  पुदीना पत्ती"
चाट मसाला रेसिपी (Chaat masala   Recipe)  ,"1 कप साबुत धनिया,1 1/4 कप साबुत जीरा,1/2 कप अजवाइन,1/2 कप आमचूर पाउडर,2 1/2 टी स्पून गरम मसाला,1 1/4  कप काला नमक,4 टी स्पून काली मिर्च पाउडर,2 टी स्पून सिट्रिक एसिड,1/2 कप सूखी पुदीने की पत्तियां "
Red Velvet Banana Pudding Recipe ,"14 oz.  one can of sweetened condensed milk,1 1/2 cups ice cold water,3.4 package fluid ounce instant vanilla pudding mix,8 oz.  cream cheese (softened and cut into 8 pieces),3 cups heavy cream,  One 9 x 13 inch layer of red velvet cakcake,4-5  Ripe bananas,1 cup mini chocolate chips,For red velvet cake:,2 cups sugar,1/4 cup cocoa,3 1/3 cups cake flour,1 1/2 tsp baking soda,1/2 tsp salt,8 oz.  butter (room temp cut into 1 inch pieces),3  Eggs,1/2 cup milk,3/4 cup sour cream,1 1/2 tsp cider vinegar,1 tbsp vanilla extract,2 tbsp red food coloring,For Whipped Vanilla Icing:,6 tbsp All-purpose flour,2 cups milk,2 cups unsalted butter (room temperature),2 cups sugar,2 tsp vanilla extract"
Chicken Nimbu Dhaniya Shorba Recipe ,"180 Ml water,40 gms chicken (diced)),1/4 tsp ginger garlic paste,1 tbsp coriander,2  Lemon,1 tbsp cream,1/2 tsp butter,1/2 tsp turmeric powder,1/2 tsp green chilli paste,1 tsp cornflour, A pinch of salt"
बेसन तिल मसाला रेसिपी (Besan til masala   Recipe)  ,"1 टेबल स्पून तेल,2 टी स्पून साबुत धनिया,1/2 टी स्पून सरसों के दाने,1/2 टी स्पून तिल, एक चुटकी हींग,2 टेबल स्पून बेसन,4-6  हरी मिर्च, स्वादानुसार नमक "
बेक्ड गुजिया रेसिपी (Baked Gujiya   Recipe)  ,"बाहरी परत के लिए:,450 ग्राम मैदा,2 ग्राम नमक,20 ml (मिली.) रिफाइंड तेल,200 ग्राम मार्जरीन,230 ml (मिली.) पानी,फीलिंग के लिए:,600 ग्राम खोया,100 ग्राम नारियल पाउडर,100 ग्राम काजू,100 ग्राम चीनी,2 ग्राम छोटी इलाइची पाउडर,200  किशमिश,20 ग्राम चिरौंजी"
Texture of Rose Dessert Recipe ,"  For Rose Pannacotta:,150 ml full cream milk,30 ml cream,40 gms rose petals,5 ml rose water,3-4 tablets  sugar substitute,1.5 sheet  gelatin,  For Pistachio Biscotti:,50 gram white butter,1-2 tablets  sugar substitute,2 nos egg,5 gms orange zest,100 gms flour,2 gms cardamom powder,2 gms salt,2 gms baking powder,40 gms pista,For Cake Crumble:,2 nos egg,1 drop  vanilla essence,1-2 tablets  sugar substitute,75 gms flour,For Rose Jelly:,30 gms rose petal,100 ml water,5-6 gms agar agar,2 ml rose water"
Tricolour Pasta Recipe ,"200 gms penne,1 cup fresh broccoli, sliced,1 medium carrot, sliced,1/2 cup green onions, sliced,1/4 cup butter (cubed),1  garlic clove (minced),1 tsp dried basil,1/2 tsp salt,1/4 tsp pepper,1/4 cup white wine,1/4 cup parmesan cheese, shredded"
ग्रिल्ड कसुंडी हनी चिकन विद स्वीट पौटेटो मैश रेसिपी (Grilled kasundi honey chicken with sweet potato mash   Recipe)  ,"2  चिकन ब्रेस्ट,100 ग्राम कसुंदी (बंगाली मस्टर्ड सॉस),400 ग्राम स्वीट पोटैटो,1-1  लाल और पीली शिमला मिर्च,1 छोटा ब्रॉकली,6  लहसुन की कलियां,30 ग्राम रिफाइंड आॅयल, स्वादानुसार नमक,50 ग्राम मक्खन,50 ग्राम क्रीम,एक टहनी  ​हरी प्याज,2 टेबल स्पून शहद,1 टेबल स्पून अदरक और लहसुन का पेस्ट"
German Stollen Bread Recipe ,"500 gms flour,200 ml lukewarm water,10 gms yeast,100 gms raisins, cranberries, citrus peel (chopped), nuts,30 ml rum,50 gms sugar,10 gms salt,5 gms ground cinnamon,2  eggs,50 gms butter,150 gms marzipan,150 gms butter (melted and cooled),  powder sugar (for dusting)"
Peshawari Chapli Kebab Recipe ,"1 Kg mutton (with fat),80 gms onions, finely chopped,80 gms tomatoes (peeled and deseeded), finely chopped,  Tomato slices,  Black pepper,10 gms coriander seeds, to taste salt,for grilling/shallow frying  cooking oil"
Crispy Lotus Stem Sticks With Garlic Dip Recipe ,"2  Lotus stems,1 tsp salt,1/2 tsp red chilli powder,1/2 tsp peri-peri powder,1 tsp garlic powder,  Oil (for frying),For garlic dip:,1 cup hung yogurt,1/4 cup cream,3 tsp crushed garlic, to taste salt, to taste pepper,  A pinch of sugar"
Tawa surmai Recipe ,"825 Gram Surmai (king fish steaks) 3 pieces,marination,2   Lemons,4 tsp  Salt,5 tsp Red Chili Powder,5 tsp Turmeric Powder,second marination,3 ½ Tbsp Ginger Paste,3 ½ Tbsp Garlic Paste,8 Tbsp  Mustard Oil,  for frying,8 Tbsp  Refined Oil"
Valentine Strawberry Mousse Recipe ,"450 Ml Milk,90 Gram Butter,55 Gram Egg yolk,14 Gram Gelatine,250 Ml Strawberry puree,450 Ml Double cream,100 Gram Sugar"
थाई येलो करी पेस्ट रेसिपी (Thai yellow curry paste   Recipe)  ,"1/2  लेमनग्रास, कटा हुआ,2  पीली मिर्च (सूखी),1/2 कप प्याज,2 टेबल स्पून अदरक, टुकड़ों में कटा हुआ,1 टेबल स्पून लहसुन, टुकड़ों में कटा हुआ,1 टी स्पून धनिया पाउडर,1 टी स्पून सरसों के दाने,3 टेबल स्पून फिश सॉस,1/2 टी स्पून हल्दी पाउडर,1 टेबल स्पून ब्राउन शुगर,2  काफिर लाइम के पत्ते, बारीक कटा हुआ,1 टेबल स्पून नींबू का रस,1/4  कप नारियल का दूध"
रोज ​सिरप रेसिपी (Rose syrup   Recipe)  ,"1 कप गुलाब की पंखुड्डियां,3 कप पानी,4 कप चीनी"
Falsa Sherbet Recipe ,"250 Gram Falsa,2 tbsp Sugar,2  Lemons,8-10  Mint leaves,6-7  Ice cubes"
Cajun Spiced Turkey Wrapped With Bacon Recipe ,"1 Large turkey breast,1 tsp cajun spice,1 cup spinach leaves (cooked and drained), chopped,5  garlic pods, chopped,10 gms salted butter,1/4 cup feta cheese,12  bacon strips,1/4 tsp ground black pepper,  For cajun spice:,1 1/2 tsp onion powder,1 1/2 tsp garlic powder,1 tbsp seasoning salt,1 tbsp paprika,1 tsp ground black pepper,1 tsp cayenne pepper,1 tsp oregano,1 tsp thyme,1/2 tsp red pepper flakes (if you like it spicy))"
Laal Duck Mole Recipe ,"  One whole duck cleaned and cut into half vertically,  For laal masala -,  10 nos or 20 gms: Rajasthani small red chillies,  5 - 7 gms whole cumin whole,  10 grams coriander whole,  15 ml mustard oil,  2 onions (medium size),  10 cloves garlic,  2 black cardamoms,  5 green cardamoms,  10 nos black pepper corns,  8 whole cloves,  1 3-inch stick cinnamon,  2 bay leaves,  1 gm or 3-4 broken pieces mace,  3 gms kachri powder,  Salt - to taste,  For the modified Mole sauce-,  50 gms compound chocolate,  5 - 10 ml olive oil,  1/2 small size onion,  10 gm celery,  2 gm dry red chilli flakes,  A pinch of crushed black pepper powder,  5 gms coriander powder,  3 gms jeera powder,  1 gm red chilli powder,  1 gm garam masala powder,  1 small tomato- 1 small (de-skinned and de-seeded),  20 ml tomato juice,  Salt - to taste (taste before adding),  1 stalk spring onion (both white and green portion)"
नीलगिरि टर्की कोरमा रेसिपी (Nilgiri Turkey Korma  Recipe)  ,"750 gms टर्की मांस,100 gms पालक,1 bunch पुदीना पत्तियां,2  bunch धनिया पत्ती,10  हरी मिर्च,150 gms प्याज,250 gms अदरक-लहसुन का पेस्ट,1/2 टी स्पून हल्दी पाउडर,10 gms शाही जीरा,100 gms दही,100 gms नारियल का पेस्ट,1 टेबल स्पून धनिया पाउडर,10 gms गरम मसाला पाउडर,100 ml (मिली.) तेल, स्वादानुसार नमक,  पानी"
Microwave Machchli Biryani Recipe ,"  1/2 kg fish fillets, cut into 1 1/2"" cubes,  2 tsp oil,  1 cup grated onions,  1 tsp ginger paste,  1 tsp garlic paste,  1 tsp cumin seeds,  1/2 tsp garam masala,  1 Tbsp coriander powder,  1/2 tsp chilli powder,  1/2 tsp turmeric powder,  1-1/2 tsp salt,  1/4 cup hung yoghurt,  1/4 cup chopped coriander leaves,  Green chillies, chopped fine,  1/2 tsp biryani masala,  1/3 cup browned onions,  For the rice:,  2 cup rice, cleaned and washed,  2 tsp oil,  4 cloves,  4 peppercorns,  1/4 cinnamon,  4 green cardamoms,  1/2 tsp salt,  3 cups hot water,  1/2 cup warm milk, saffron or color mixed"
कॉर्न पुलाव रेसिपी (Corn pulao   Recipe)  ,"250 ग्राम बासमती चावल,80 ग्राम अमेरिकन कॉर्न के दाने,2 टी स्पून जैतून का तेल,1  प्याज,1 टी स्पून अदरक लहसुन का पेस्ट,1 टी स्पून नमक,4  हरी मिर्च,5 ग्राम जीरा,1  तेजपत्ता,1/2 टी स्पून कालीमिर्च,8  लौंग,2 कप गर्म पानी,3 टेबल स्पून हरा धनिया, टुकड़ों में कटा हुआ,2 टेबल स्पून नींबू का रस,  शिमला मिर्च , टुकड़ों में कटा हुआ,  नारियल, कद्दूकस"
Sali Boti (Parsi Meat Dish) Recipe ,"For boti:,1 Kg Mutton (wash and cut into very small cubes),2-3 Tbsp Ghee or oil,4  Tomatoes, chopped,4-5  Onions, finely chopped,3-4  Green chillies, chopped,  Coriander leaves,1/2 tsp Chilli powder,1/2 tsp Turmeric powder,1 tsp Ginger-garlic paste,2 Cups Water,1 1/2 Tbsp Vinegar,1 1/2 Tbsp Jaggery, To taste Salt,For sali:,6-7  Potatoes,For frying  Oil "
"Risotto Lobster with Parmesan Egg Pancake, Confit Tomatoes and Coral Tuille Recipe ","For lobster stock:,400 gram Lobster shell,100 gram Carrot,100 gram Leeks,5-6  Garlic cloves,1 tbsp Tomato paste,2 nos Bay leaf,5 gram Peppercorn,600 ml Water,For risotto:,600 gram Lobster meat,300 gram Arborio rice,15 gram Onion, chopped,15 gram Leeks, chopped,400 ml Lobster stock,2 tbsp Parmesan cheese,30 ml Cream, to taste Salt,15 ml Olive oil,For parmesan egg pancake:,1  Egg,20 gram Parmesan,10 gram Flour,10 ml Milk,10 gram Parsley, chopped, to taste Salt,For confit tomatoes:,100 gram Cherry tomatoes,5-6 nos Garlic pods,20 ml Olive oil,For corn tuile:,50 gram Water,20 ml Oil,10 gram Flour, to taste Salt"
रेड राइस पोहा रेसिपी (Red rice poha   Recipe)  ,"1  प्याज, टुकड़ों में कटा हुआ,1/2 कप पैपर, टुकड़ों में कटा हुआ,3-4  बटन मशरूम,एक मुट्ठी (पानी के साथ)  जंगली मशरूम,1 टेबल स्पून वाइट वाइन,1/2  टमाटर,1  सेज लीफ,1 कप रेड पोहा,कुछ बूंदें  ट्रफल ऑयल,  रोजमेरी"
Dahi Shorba Recipe ,"  450 ml yogurt,  3 Tbsp besan,  450 ml water,  2 tsp sugar,  1 tsp salt,  3-4 radish,  1 Tbsp oil,  1 pinch heeng,  1 tsp black mustard seeds,  1 tsp cumin seeds,  1 tsp coriander seeds,  2-4 curry leaves,  4 whole, dried red chillies,  1 tsp chopped garlic,  1 1/2 tsp chopped ginger,  Chopped coriander to garnish"
Garlic Soya Chicken Recipe ,"450 Gram Chicken Thigh/Breast (cut crosswise into 1/2-inch-thin strips),1 tsp Sesame Oil (toasted),1/4 tsp White Pepper (finely ground),1 tsp Ginger Juice,2 Tbsp Peanut Oil or Vegetable oil (divided),5-6  Garlic cloves (minced),1 Tbsp Ginger, grated,1 tsp Red Chilli Flakes,1/2 Cup Red Onion , chopped,A handful  Snow Peas (trimmed),1/2  Red Bell Pepper (cut into thin strips),For the sauce:,1 Tbsp Rice Vinegar,2 Tbsp Soy Sauce,2 tsp Dark Soy Sauce,2 tsp Chinese Rice Wine,1/2 Tbsp Brown Sugar,1 tsp Cornflour"
Gaith Dal Fritters With Himalayan Chutney Recipe ,"For fritters:,200 Gram Gaith dal,15 Gram Ginger, chopped,10 Gram Green chillies, chopped,5 Gram Coriander, chopped,20 Gram Spinach keaves, julienne,30 Gram Salt,2 Gram Red chilli powder,10 Gram Gram flour, A pinch of Asafoetida,For frying  Refined oil,  For salad:,30  Roket leaves,5  Cherry tomato,10  Pineapple, chopped,10  Pears, chopped,10  Apple , chopped,10  Strawberry, chopped,2 Gram Salt,2 Gram Black pepper,2-3 Ml Olive oil,2 Ml Lemon juice,For mint chutney:,50 Gram Mint,30 Gram Coriander,10 Gram Green chilli,10 Gram Ginger,3-4 Nos Lemon whole,As per requirement  Himalayan salt,For tomato and peanut chutney,50 Gram Tomatoes, roasted,10 Gram Peanut,5 Gram Sesamic seeds,3 Gram Ginger,3 Gram Garlic,4 Gram Green chillies,2 Gram Salt,5 Ml Lemon juice"
Almond Milk Thandai Recipe ,"  For the powder mix:,  1/2 tsp of cardamom powder or 2-3 green cardamom (elaichi),  2 tsp of poppy seeds (khus khus),  1 tsp of fennel seeds (saunf),  5-6 black peppercorns (kali mirch),  3/4 tsp saffron (kesar) - optional,  1 tsp roasted watermelon seeds or sunflower seeds,  A pinch of nutmeg - optional,  For the drink:,  4 cups of almond milk,  Seedless Dates/Raw Sugar/Palm Sugar to taste,  For garnishing:,  Chopped Pistachios,  Silver Leaves,  Pinch of Saffron"
